à,at; in; to; with
cuisine (n.f.) [activité],cooking; cookery
cuisiner (v.),cook
cuisinier (n.m.),cook
cuisinière (n.f.),cooker
cuisse de grenouille (n.f.) &lt;cuisses de,frog leg
cuisson (n.f.),cooking
cuit,well done; cooked
culinaire,culinary
culminant,summit
culot (n.m.),base; shell; body
culotte (n.f.),underpants; knickers (UK);panties (US)
cultivé,cultured; cultivated
cultiver (v.),cultivate; grow
culture (n.f.),culture; cultivation; crop
culture physique (n.f.),physical training
culturel,cultural
culturellement,culturally
curieux,curious
curiosité (n.f.),curiosity
curriculum vitae (n.m.),curriculum vitae; résumé (US)
CV (curriculum vitae) (n.m.),CV (curriculum vitae)
cyber-café (n.m.),cyber-café
cybercafé (n.m.),cybercafé
cybermonde (n.m.),cyber-world
cybershopping (n.m.),cybershopping
cycle (n.m.),cycle
cyclisme (n.m.),cycling
cycliste (double genre),cyclist
cycliste,cycle
cymbale (n.f.),cymbal
d'accord,O.K.; all right
dactylographe (double genre),typist
dactylographier (v.),type
d'ailleurs,besides; anyway
Dalila (n.pr.),Delilah
dame (n.f.),lady; woman
Dame Nature (n.pr.),Mother Nature
Danemark (n.pr.m.),Denmark
danger (n.m.),danger
dangereux,dangerous
Daniel Cohn-Bendit (n.pr.),Daniel Cohn-Bendit
dans,in; inside; into
dans ce cas,in that case; then
dans la mesure où,insofar as; inasmuch as
dans le cadre de,as part of; within the limits of
dans les temps,on time
dansant,dancing
danse (n.f.),dance; dancing
danser (v.),dance
danseur (n.m.),dancer
d'après,going by; according to
date (n.f.),date
daté,dated
dater (v.),date
dater de,date back to
dauphin (n.m.),dolphin
d'autant plus,all the more so since
d'autant plus que,especially as
d'avance,in advance
davantage,more
David,David
de,from; of; some
dé (n.m.),dice
de ... gré,of one's own free will
de bas en haut,from the bottom up
de bonne grâce,willingly; with good grace
de caractère,with character; of character
de ce fait,for this reason
de droite,right-wing
de façon à,in order to
de gauche,left-wing
de haut en bas,from the top to the bottom
de jour comme de nuit,night and day
de la sorte,in this way
de la tête aux pieds,from head to foot
de l'ordre de,of the order of; in the order of; by
de manière à,so as to; so that; in order to
de marque,distinguished; upmarket
de moins en moins,less and less
de poche,pocket...
de prédilection,favourite
de près,at close range; closely
de qualité,quality; high-standard
de quoi,what
de rechange,spare
de retour,be back (from)
de toute évidence,obviously
de toute façon,anyway
de toute manière,anyway; in any case
de trop,too much
débarquement (n.m.),disembarkation
débarquer (v.),disembark
débarras (n.m.),junk room; storage room
débarrasser (v.),clear
débattre (v.),discuss; debate
débit (n.m.),flow; output; debit
débiteur,debtor
déboires (n.m.pl.),disappointments; setbacks; problems
déboîter (v.),pull out
déborder (v.),overflow; extend beyond
déboucher (v.),unblock; uncork
débourser (v.),pay out; disburse
debout,standing (up); be up
débris (n.m.),remains; debris
débusquer (v.),light; bring; flush out
début (n.m.),beginning; start
débutant (n.m.),beginner
débutant,novice; young
débuter (v.),start; begin
déca (n.m.),decaf; decaffeinated coffee
décalage horaire (n.m.),jet lag; time difference
décapsuleur (n.m.),bottle opener
déceler (v.),detect; reveal
décembre (n.m.),December
décerner (v.),award; give
décevoir (v.),disappoint
déchargement (n.m.),unloading
décharger (v.),unload
déchet (n.m.),waste
déchirer (v.),tear
décider (v.),decide
décideur (n.m.),decision-maker
décision (n.f.),decision
déclaration (n.f.),declaration
Déclaration des droits de l'homme et du citoyen,The Declaration of Human and Citizen's Rights
déclarer (v.),declare
déclencher (v.),start; release; activate
décliner (v.),decline; turn down; fade; go down
décollage (n.m.),take-off
décoller (v.),take off
décolorer (v.),bleach; fade
décommander (v.),cancel
déconseiller (v.),advise against
décontracté,casual; relaxed
décor (n.m.),scenery
décorateur (n.m.),interior decorator
décoratif,decorative
décoration (n.f.),decoration
décorer (v.),decorate
découper (v.),to cut up
décourager (v.),discourage
découvert (n.m.),overdraft
découverte (n.f.),discovery
découvrir (v.),discover; find
décrire (v.),describe; detail
décrocher (v.),pick up
déçu,disappointed; thwarted
dédaigner (v.),despise; ignore
Dédale (n.pr.),Daedalus
dedans,inside
dédicacer (v.),sign; autograph
dédier (v.),dedicate
dédommagement (n.m.),compensation
dédouanement (n.m.),customs clearance
défaillance (n.f.),failure; weakness; fault; default
défaillant,failing; declining; weak
défaire (v.),undo; untie; break up; unpack
défait,undone; unpacked
défaut (n.m.),flaw; fault; defect
défectueux,faulty; defective
défendre (v.),defend
défense (n.f.),defence (UK); defense (US)
la Défense (n.pr.),la Défense
déferler (v.),break; unfurl
défi (n.m.),challenge
défier (v.),challenge; defy
défilé (n.m.),parade
défiler (v.),parade; file (along); march
définir (v.),define
définitif,definitive; final; definite
définition (n.f.),definition; meaning
définitivement,for good; definitively
dégager (v.),free; clear; relieve; release
dégât (n.m.),damage
dégoûtant,filthy; disgusting
dégradation (n.f.),damage
degré (n.m.) [température],degree
degré (n.m.) [niveau],level; value
dégressif,digressive; tapering
dégriffé,unlabelled designer clothing
déguiser (v.),disguise; dress sb up
dégustation (n.f.),tasting
déguster (v.),enjoy; taste
dehors,outside
déjà,already; ever
déjeuner (v.),have lunch
déjeuner (n.m.),lunch
délai (n.m.),deadline; delay
délicat,delicate; tricky; precarious
délicatement,delicately
délice (n.m.),delight
délices (n.f.pl.),delights
délicieux,delicious
délivrer (v.),deliver; rescue
déloyal,disloyal; unfair
deltaplane (n.m.),hang-glider
démagnétiser (v.),demagnetize
demain,tomorrow
demande (n.f.),request
demande en mariage (n.f.),marriage proposal
demander (v.),ask for; request
demander pardon,to say sorry
demandeur d'emploi (n.m.) &lt;demandeurs,job seeker
d'emploi&gt;,
démarche (n.f.),walk; step; move; process
démarcher (v.),canvass; sell door-to-door
démarquer (v.),mark down
démarrage (n.m.),start; pulling away
démarrer (v.),set off; start; pull away; cast off
démêlage (n.m.),untangling
démêler (v.),untangle
déménager (v.),move
déménageur (n.m.),furniture remover (UK); furniture mover (US)
demeurer (v.),remain; stay somewhere; live
demi (n.m.),beer; half-pint
demi,half
demi-baguette (n.f.),half a French stick
demi-boîte (n.f.),half-box
demi-bouteille (n.f.),half a bottle
demi-heure (n.f.),half an hour; half-hour
demi-journée (n.f.),half-day; half-a-day
demi-litre (n.m.),half-litre
demi-million (n.m.),half a million
demi-part (n.f.),half a piece; half
demi-sel,slightly salted butter
demi-tour (n.m.),U-turn; half-turn; about-turn
demi-verre (n.m.),half a glass
demi-vide,half-empty
démissionner (v.),quit; resign; give up
démolir (v.),demolish
démonstrateur (n.m.),demonstrator
démonstration (n.f.),demonstration; show
démouler (v.),turn out of a mould; remove from a mould
dénicher (v.),track down; discover
Denis Diderot (n.pr.),Denis Diderot
dénoncer (v.),denounce; terminate
dénouement (n.m.),outcome; ending
denrée (n.f.),foodstuff; commodity; feed
dense,dense
dent (n.f.),tooth
dentaire,dental
dentelle (n.f.),lace
dentifrice (n.m.),toothpaste
dentiste (double genre),dentist
dépannage (n.m.),repair
dépanner (v.),repair; help out
dépanneuse (n.f.),breakdown lorry (UK); tow truck (US)
départ (n.m.),start; departure
départ usine,factory price
département (n.m.),department
dépassement (n.m.),overtaking; passing
dépasser (v.),overtake; exceed
dépayser (v.),provide with a pleasant change of scenery;
dépendre (v.),depend on
dépense (n.f.),expenditure; consumption
dépenser (v.),spend
déplacement (n.m.),shift; moving; transfer; travelling
déplaisant,unpleasant
dépliant (n.m.),folder; leaflet
déplorable,regrettable; deplorable
déplorer (v.),deplore; mourn
déployer (v.),spread out; display
d'époque,period; time; era
déposer (v.),leave; put; drop off
déposition (n.f.),deposition
dépôt (n.m.),deposit; depot; handing in
dépôt de bilan (n.m.),bankruptcy
déprimé,depressed
déprimer (v.),depress
depuis,from; since; for
depuis peu,recently; for a short time
député (n.m.),member of parliament (UK); representative (US)
déraillement (n.m.),derailment
déranger (v.),bother; move; disturb
dérapage (n.m.),skid
dérive (n.f.),centreboard (UK)
dériver (v.),drift
dériveur (n.m.),storm sail; dinghy
dernier (n.m.),last one
dernier,last [adjective]; latest [adjective]
dernier cri,state-of-the-art
dernièrement,recently; lately
dérober (v.),steal; hide
déroulement (n.m.),development
derrière,behind
dès,from
dès à présent,right away; from now on
des lustres,ages
dès que,as soon as
dès que possible,as soon as possible
désaffecté,disused
désavantager (v.),disadvantage
désavantageux,unfavourable
descendre (v.) (+ être),go down; come down; get off
descendre (v.),lower; bring down; take down
descente (n.f.),descent; raid
descriptif (n.m.),specification
description (n.f.),description
désencombrer (v.),clear
déséquilibrer (v.),lose one's balance; make unstable
désert,deserted
désert (n.m.),desert
désespérer (v.),fill with dispair; have given up hope
déshydratation (n.f.),dehydration
déshydraté,dehydrated
désigner (v.),indicate; designate; appoint; choose
désinfectant (n.m.),disinfectant
désinfecter (v.),disinfect
désir (n.m.),desire; wish
désirer (v.),wish; desire; want
désolé,sorry
désordonné,confused; untidy; disorderly
désormais,from now on
desserrer (v.),loosen
dessert (n.m.),dessert
dessin (n.m.),drawing
dessiner (v.),draw; design
dessous,underneath
dessous-de-plat (n.m.),tablemat
dessus,on; on top; over
destinataire (double genre),addressee; consignee; person addressed
destination (n.f.),destination
destiner (v.),destined; intended
détacher (v.),untie; let loose; unbind; detach
détail (n.m.),detail
détaillé,detailed
détailler (v.),detail; scrutinize
détaxer (v.),reduce the tax on
détecter (v.),detect
détecteur (n.m.),detector
détendu,relaxed
détente (n.f.),recreation; relaxation; trigger
détermination (n.f.),determination
déterminer (v.),determine; establish; assess; decide
détester (v.),hate
détour (n.m.),detour; diversion; bend
détournement (n.m.),hijacking; diversion
détourner (v.),turn away
détracteur (n.m.),detractor
détroit (n.m.),strait
détruire (v.),destroy
dette (n.f.),debt
deux,two
deux-roues (n.m.),two-wheeled vehicle; two-wheeler
deuxième,second
deuxième (double genre),second [noun]
dévaler (v.),run down
devant,in front (of)
développement (n.m.),development
développer (v.),develop; expand; spread
devenir (v.) (+ être),get; become
déviation (n.f.),diversion (UK); detour (US)
dévier (v.),deviate from; divert
deviner (v.),guess
devinette (n.f.),riddle
devise (n.f.),device; slogan; currency
dévoiler (v.),unveil; disclose
devoir (n.m.),homework; obligation
devoir (v.),must; have to; owe
dévorer (v.),devour
d'habitude,usually
diagnostic (n.m.),diagnosis
diagramme (n.m.),graph; diagram
dialogue (n.m.),dialogue
Diane de Poitiers (n.pr.),Diane of Poitiers
diarrhée (n.f.),diarrhoea; colic
d'ici,by; within; from here; away; between now and
dicter (v.),dictate; impose
dictionnaire (n.m.),dictionary
diesel (n.m.),diesel engine
diesel,diesel
Dieu (n.pr.),God
Dieu merci,thank God
différence (n.f.),difference
différencier (v.),differentiate from
différent,different
différer (v.),differ; delay
difficile,hard; difficult
difficilement,with difficulty
difficulté (n.f.),problem; difficulty
diffuser (v.),distribute; diffuse; spread
diffusion (n.f.),broadcast
digérer (v.),digest
digestif (n.m.),liqueur
digestion (n.f.),digestion
dignement,with dignity; fittingly
Dijon (n.pr.),Dijon
dimanche (n.m.),Sunday
dimension (n.f.),dimension
diminuer (v.),reduce
diminution (n.f.),reduction; decrease
dinde (n.f.),turkey
dîner (n.m.),dinner
dîner (v.),have dinner
diplomate,diplomatic
diplomatie (n.f.),diplomacy
diplôme (n.m.),certificate; degree; staff exam
dire (v.),tell; say; funcy
direct,direct [adjective]
direct (n.m.),direct
directement,directly
directeur (n.m.),director; manager
direction (n.f.) [sens],direction; way; management
direction (n.f.) [service],direction; way
diriger (v.),run; manage; lead
dis donc,by the way; hey
discipline (n.f.),discipline
discontinu,broken
discothèque (n.f.),discotheque; disco; night club
discours (n.m.),speech; discourse
discret,discreet
discussion (n.f.),discussion
discuter (v.),talk; discuss
disparaître (v.),disappear
disparition (n.f.),disappearance; extinction
disparu,disappeared
dispenser (v.),dispense
disperser (v.),scatter; break up; dissipate
disponibilité (n.f.),availability
disponible,available
disposé à,willing to
disposer (v.),arrange; set
disposer de,have at one's disposal; have available
dispositif (n.m.),device; system; machinery
disposition (n.f.),disposal
disputer (v.),run; match; fight
disque (n.m.) [musique],record; disk
disque (n.m.) [sport],discus
disque compact (n.m.),compact disc
disque dur (n.m.),hard disk
disque souple (n.m.),floppy disk
disquette (n.f.),diskette
dissiper (v.),dispel
distance (n.f.),distance
distingué,distinguished; refined
distribuer (v.),distribute; give out; arrange
distributeur (n.m.),distributor; cash dispenser
distribution (n.f.),distribution
diverger (v.),diverge; differ
divers,different; varied
diversifié,varied; diversified
diversifier (v.),vary; diversify
divertissement (n.m.),distraction; entertaining
diviser (v.),divide; split up
division (n.f.),division
dix,ten
dix-huit,eighteen
dix-huitième,eighteenth
dix-neuf,nineteen
dix-neuvième,nineteenth
dix-sept,seventeen
dix-septième,seventeenth
dixième,tenth
dizaine (n.f.),about ten
dock (n.m.),dock
docker (n.m.),docker
docteur (n.m.),doctor
document (n.m.),document
documentaire (n.m.),documentary
documentation (n.f.),documentation
doigt (n.m.),finger
doigt de pied (n.m.),toe
dollar (n.m.),dollar
DOM (département d'outre-mer),DOMs; France's overseas Departments
DOM-TOM,France's Overseas Territories and Departments
domaine (n.m.),field; area
dôme (n.m.),dome
domicile (n.m.),place of residence; home
dominer (v.),dominate
dommage (n.m.),damage; pity
dommages et intérêts,damages
Domrémy (n.pr.),Domrémy
donc,then; so; therefore
donjon (n.m.),keep; donjon
donné,given
donnée (n.f.),given information; datum
donner (v.),give; cause
donner envie,make sb want to
donner le cafard,get sb down
donner le vertige,make dizzy
donner naissance,give birth
donner suite à,follow up
donner un coup de fil,give a phone call
donner un coup de main,give sb a helping hand
dont,what; whose; of which; which
d'ordinaire,usually
Dordogne (n.pr.f.),Dordogne
doré,golden; gilded
dorénavant,from now on; in future
d'ores et déjà,already
d'origine,original; of origin
dormir (v.),sleep
dormir comme un loir,sleep like a log
dortoir (n.m.),dormitory
dos (n.m.),back; backache
dos crawlé (n.m.),backstroke
dossier (n.m.),file
d'où,from where; where . . . from; hence; from which
douane (n.f.),customs
douanier,customs
douanier (n.m.),customs officer
double,dual; double
double (n.m.),copy; double
doubler (v.),overtake (UK); pass (US)
doucement,slowly; gently; quietly
douche (n.f.),shower
doué,gifted; talented; clever
douleur (n.f.),pain
douloureux,distressing; painful
doute (n.m.),doubt
douter (v.),doubt
douteux,questionable; doubtful
Douvres (n.pr.),Dover
doux,soft; easy; sweet; smooth
douzaine (n.f.),dozen
douze,twelve
douzième,twelfth
dramaturge (n.m.),playwright; dramatist
drame (n.m.),tragedy
drap (n.m.),sheet
drapeau (n.m.),flag
dressage (n.m.),training; taiming
dresser (v.),make out; raise; draw up; break (in)
DRH (direction des ressources humaines),personnel department; human ressources
dribbler (v.),dribble
drisse (n.f.),halyard
droit (n.m.) [prérogative],right
droit,straight [adjective]; right [adjective]
droit (n.m.) [juridique],law
droite (n.f.),right
droits de l'homme (n.m.pl.),Human Rights
drôle,funny; strange
drôlement,funnily; tremendously; very
dromadaire (n.m.),dromedary
druide (n.m.),druid
dû,due
dû (n.m.),due
du coin,local; round the corner
du côté de,near; towards; from
du fait de,due to; because of
du haut de,from the top of
du monde,people; world
du tac au tac,tit for tat
du temps de,in the days of; when
d'un côté,in a way; on the one hand; on one side
d'un coup,just like that
d'une traite,in one go; without stopping
duo (n.m.),duet
dur,hard [adjective]; tough [adjective]; stiff [adjective]
durant,during; for
durée (n.f.),duration; length
durement,hard; deeply; badly
durer (v.),last
d'urgence,emergency; urgency
DVD,DVD
dynamique,dynamic; lively
dynamisme (n.m.),dynamism
e-learning (n.m.),e-learning
E-mail (n.m.),e-mail
eau (n.f.),water
eau douce (n.f.),fresh water
eau minérale (n.f.),mineral water
ébriété (n.f.),drunkenness
ébruiter (v.),divulge
écailler (v.),scale; open; chip
échafaudage (n.m.),scaffolding
échange (n.m.),exchange; swap
échanger (v.),exchange
échantillon (n.m.),sample; example
échapper (v.),avoid; escape from
écharpe (n.f.),scarf
échéance (n.f.),date of payment; expiry date (UK); expiration (US)
échec (n.m.),failure
échecs (n.m.pl.),chess
échelle (n.f.),ladder; scale
échouer (v.),fail
éclabousser (v.),splash
éclair (n.m.) [orage],flash of lightning
éclair (n.m.) [pâtisserie],chocolate éclair
éclairage (n.m.),lighting
éclaircie (n.f.),sunny spell
éclaircir (v.),lighten; clear up
éclaircissement (n.m.),explanation; clarification
éclairer (v.),light (up); brighten
éclater (v.),break; burst
éclipse (n.f.),eclipse
écluse (n.f.),lock
école (n.f.),school
école Diwan (n.f.),Diwan school
Ecole Impériale (n.pr.f.),Imperial School
Ecole Nationale des Arts Décoratifs (n.pr.f.),The National School of Fine Arts
écolier (n.m.),pupil
écologie (n.f.),ecology
écologique,ecological
économie (n.f.) [système],saving; economy; economics
économie (n.f.) [épargne],saving; economy; economics; save money
économies d'échelle (n.f.pl.),economies of scale
économique,cheap; economic; economical
économiser (v.),save
Ecossais (n.m.),Scotsman; Scot
écossais,Scottish
Ecosse (n.pr.f.),Scotland
écouler (v.),sell
écourter (v.),shorten
écoute (n.f.),listening; audience
écouter (v.),listen to
écouteur (n.m.),earpiece; earphone
écoutille (n.f.),hatch; hatchway
écran (n.m.),screen
écran total (n.m.),sun block
écrevisse (n.f.),lobster
écrire (v.),write
écrit,written
écriture (n.f.),handwriting
écritures (n.f.pl.),accounts
écrivain (double genre),writer
écrouler (v.),collapse
écureuil (n.m.),squirrel
écurie (n.f.),stable
Edgar Degas (n.pr.),Edgar Degas
édifice (n.m.),building
édifier (v.),build; erect
éditer (v.),publish
Edouard Balladur (n.pr.),Edouard Balladur
Edouard Manet (n.pr.),Edouard Manet
éducation (n.f.),education
effacer (v.),delete; wipe out
effectif (n.m.),workforce; number
effectivement,indeed; that's right
effectuer (v.),make; do; carry out
effervescence (n.f.),turmoil
effet (n.m.),effect; impression
efficace,efficient
efficacement,efficiently; effectively
efficacité (n.f.),efficiency; effectiveness
effilé,tapered; pointed
effort (n.m.),effort
effraction (n.f.),breaking and entering
effrayé,frightened; scared
effrayer (v.),scare; frighten
effréné,frantic; frenetic
égal,equal; even
également,also; too
égalité (n.f.),equality
égard (n.m.),consideration; respect
égarer (v.),mislay
égayer (v.),brighten
église (n.f.),church
église de la Madeleine (n.pr.f.),Madeleine Church
égoïste,selfish
égoutter (v.),drain
égouttoir (n.m.),draining rack (UK); drainer (US)
Egypte (n.pr.f.),Egypt
égyptien,Egyptian
eh,hey
eh bien,well
élagueur (n.m.),tree-trimmer
élastique (n.m.),elastic; elastic band
électricien (n.m.),electrician
électricité (n.f.),electricity
électrique,electric
électroménager,appliance
électronique,electronic
élégance (n.f.),elegance
élégant,elegant; neat
élément (n.m.),element
éléphant (n.m.),elephant
éléphant de mer (n.m.),sea elephant; elephant seal
élevage (n.m.),breeding; rearing
élève (n.m.),pupil
élever (v.),raise; increase
élimination (n.f.),elimination
éliminer (v.),void; remove; eliminate
elle,she
elle-même,herself
élogieux,laudatory
éloigné,distant; remote
éloigner (v.),move away; take away; remove
élucider (v.),explain; clear up
emballage (n.m.),packing; wrapping
emballer (v.),wrap; pack
embarcadère (n.m.),pier; wharf
embarquement (n.m.),boarding
embarquer (v.),board
embarrasser (v.),embarass; hamper; put in a awkward position
embauche (n.f.),hiring; employment
embaucher (v.),take on (UK); hire
embellir (v.),embellish; brighten up
embellissement (n.m.),embellishment
embêtant,annoying
emblème (n.m.),emblem
embouteillage (n.m.),traffic jam; tailback
embouteiller (v.),jam (up)
embranchement (n.m.),junction
embrasser (v.),take up; pursue; kiss
embrouiller (v.),tangle; confuse
émergence (n.f.),emergence
émerger (v.),emerge
émerveiller (v.),fill with wonder
émettre (v.),emit; transmit; express
émeute (n.f.),riot
émigration (n.f.),emigration
émincer (v.),cut into thin strips
Emirats Arabes Unis (n.pr.),United Arab Emirates
émission (n.f.),programme (UK); program (US)
emmêler (v.),tangle; mix
emménager (v.),move in
emmener (v.),take
émotion (n.f.),emotion; fright
empaqueter (v.),pack up; package
empêcher (v.),prevent; stop; block
empereur (n.m.),emperor
Empire inca (n.pr.m.),Inca Empire
emplacement (n.m.),site
emplette (n.f.),purchase
emploi (n.m.),job
emploi du temps (n.m.),timetable; schedule
employé (n.m.),employee; clerk
employer (v.),use; employ
emporter (v.),take away
empreinte digitale (n.f.),fingerprints
emprunt (n.m.),loan
emprunter (v.),borrow; take; derive; assume
emprunteur (n.m.),borrower
en,in; to; made of
en abondance,in abundance
en attendant,meanwhile; in the meantime
en aucun cas,under no circumstances
en avance,early; ahead; in advance
en avoir assez de,be fed up with
en avoir pour,cost ...
en cas de,in case
en cause,at stake
en ce moment,at the moment; right now
en chemin,on the way
en colère,angry
en commun,in common
en compagnie de,with; accompanied by
en continu,nonstop; continuous
en cours,current; in hand
en cours de,in the process of
en début de,at the beginning of
en dehors de,apart from; outside; off
en dessous de,below
en détail,in detail
en double file,double-park
en duo,in duet
en échange,exchange; swap
en effet,in fact; indeed
en espèces,in cash
en exprès,first class
en faillite,bankrupt
en faire autant,do likewise
en faire toute une histoire,make a mountain out of a mole hill
en famille,family
en fin de,at the end of
en fin de compte,in the end
en fonction de,according to; depending on
en forme de,in the shape of
en général,generally
en gros,roughly; approximately; in bulk
en haut de,at the top of
en lieu sûr,in a safe place
en ligne,in a line
en mains propres,personally
en marche,working; running
en matière de,concerning
en même temps,in the same time; at the same time
en milieu de,in the middle of
en moins,less
en non-urgent,non-urgent
en ordre,orderly; tidy
en papillote,cooked in foil parcels
en particulier,in particular; in private
en partie,partly; in part
en permanence,continuously; permanently; always
en personne,in person; personally
en pièces,torn to pieces; smashed to pieces
en plein,in the middle of
en possession de,in possession of
en pratique,in practical terms
en premier,first
en principe,in principle; as a rule
en privé,in private
en profiter,make the most of it
en profiter pour,take the opportunity to
en promotion,on special offer
en prose,in prose
en provenance de,coming from
en quantité,in considerable amount; a lot; in large numbers
en question,in question; concerned
en raison de,owing to; because of
en rapport,in keeping with
en réalité,in fact; actually; in reality
en relation,in touch with; related to
en retard,late
en retour,in return
en revanche,on the other hand
en route,on the way; let's go
en secret,in secret; secretly
en signe de,as an indication of; as a sign of
en solde,on sale
en tant que,as
en tête,in mind
en tout,altogether; all together
en tranches,sliced
en trop,extra
en vente,for sale; available
en vigueur,in force
en voie de disparition,endangered; dying; fast disappearing
en vouloir à,be angry with; be annoyed with; have a grudge
en vue,within sight of; in the public eye
encadrer (v.),supervise; control; frame
encaissement (n.m.),cashing; receipt; collection
encaisser (v.),receive; cash
enceinte,pregnant
enceinte (n.f.),within; speaker
encéphalogramme (n.m.),encephalogram
encercler (v.),surround; circle
enchaîner (v.),chain up
enchanté,delighted; pleased to meet you
enchanter (v.),enchant; delight
enchanteur,enchanting
encombré,congested; busy
encombrement (n.m.),traffic jam; clutter
encombrer (v.),block; clutter
encore,again; still
encourager (v.),encourage
encre (n.f.),ink
Encyclopédie (n.pr.f.),the Encyclopedia
encyclopédie (n.f.),encyclopedia
encyclopédiste (n.m.),encyclopedic writer
endetté,in debt
endettement (n.m.),debt; indebtedness
endive (n.f.),chicory
endommager (v.),damage
endormi,asleep; sleeping
endosser (v.),put on; take on; endorse
endroit (n.m.),place
endurance (n.f.),endurance; stamina
© Copyright 2005 Auralog S.A. All rights reserved,Page 5/12
énergétique,high-calorie; energy
énergie (n.f.),energy
énervé,irritated; nervous
enfance (n.f.),childhood
enfant (double genre),child
enfermer (v.),lock up; shut up
enfiler (v.),thread; string; put on; slip on
enfin,finally; at last; anyway; well
enfler (v.),swell up
engagement (n.m.),commitment; engagement
engager (v.),hire; commit
engin (n.m.),machine
englober (v.),include; encompass
engouement (n.m.),infatuation
énigmatique,enigmatic
énigme (n.f.),mystery; enigma
enjeu (n.m.),stake; issue
enjoliveur (n.m.),hubcap
enjoué,cheerful; jovial
enlèvement (n.m.),removal; kidnapping
enlever (v.),remove; take away
enneigé,covered with snow; snow-covered
ennemi (n.m.),enemy
ennui (n.m.),annoyance; trouble
ennuyé,bored; bothered; annoyed
ennuyer (v.),bore; disturb; bother; annoy
ennuyeux,boring; annoying; tedious
énorme,huge; enormous; tremendous
énormément,enormously; tremendously
enquête (n.f.),investigation; survey
enquêter (v.),investigate
enregistrement (n.m.),check-in; registration
enregistrer (v.),record; register; check in
enrichir (v.),enrich
enrichissant,rewarding; fulfilling
enrouler (v.),roll up; roll; wind
enseignant (n.m.),teacher
enseignement (n.m.),teaching
enseigner (v.),teach; instruct
ensemble (n.m.),housing development (UK); housing project (US);
ensemble,together
ensoleillé,sunny
ensuite,then
entamer (v.),start; cut; damage
entasser (v.),pile up; squeeze
entendre (v.),hear
entendu,of course; all right; right; OK
entente (n.f.),agreement
enterrement (n.m.),burial; funeral
enterrer (v.),bury
enthousiasmer (v.),fill with enthusiasm
enthousiaste,enthusiastic
entier,full; whole
entièrement,fully
entouré,surrounded; popular
entourer (v.),surround
entracte (n.m.),interval; interlude; intermission
entraîner (v.),bring
entre,between; among
entre autres,among others
entrecôte (n.f.),rib steak; entrecôte steak
entrée (n.f.) [accès],entrance; entry; hall
entrée (n.f.) [culinaire],starter; first course
entrepôt (n.m.),warehouse
entreprendre (v.),undertake; start
entrepreneur (n.m.),contractor; businessman
entreprise (n.f.),company; business
entrer (v.) (+ être),enter; go in; come in
entrer en,be in; get in
entretenir (v.),maintain; keep up
entretien (n.m.),interview; discussion; maintenance; care
entrevoir (v.),make out; see briefly
énumérer (v.),enumerate; list
envahir (v.),invade
envahisseur (n.m.),invader
enveloppe (n.f.),envelope
enveloppe à fenêtre (n.f.) &lt;enveloppes à,window envelope
fenêtre&gt;,
envelopper (v.),wrap; envelop; surround
envers,towards; to
envie (n.f.),urge; envy
envier (v.),envy
environ,about; approximately; roughly
environnement (n.m.),environment
environner (v.),surround
environs (n.m.pl.),surroundings
envisager (v.),consider
envoi (n.m.),sending; consignment
envoi recommandé (n.m.) &lt;envois,registered mail
recommandés&gt;,
envoyer (v.),send
épais,thick
épargne (n.f.),savings; savings account
épargner (v.),save; spare
épatant,amazing; great
épaule (n.f.),shoulder
épauler (v.),raise one's rifle; support; back up
épaulière (n.f.),shoulder pad
épave (n.f.),wreck
épée (n.f.),sword
épeler (v.),spell
éphémère,fleeting; short-lived
épi (n.m.),ear; tuft
épice (n.f.),spice
épicé,spicy
épicerie (n.f.),grocer's shop (UK); grocery store (US)
épicier (n.m.),grocer
épicurien (n.m.),Epicurean
épinard (n.m.),spinach
Epiphanie (n.pr.f.),Epiphany
éplucher (v.),peel
éplucheur (n.m.),peeler
éponge (n.f.),sponge
époque (n.f.),at the time; in that time; in the day of; in these days
épouser (v.),marry; wed
époustouflant,stunning; breathtaking
épouvantable,awful; terrible
époux (n.m.),spouse; husband
épreuve (n.f.),test; order
éprouvant,trying; testing
épuisant,tiring
épuisé,exhausted; run out
épuisement (n.m.),exhaustion
épuisette (n.f.),net
équatorial,equatorial
équilibre (n.m.),balance
équilibrer (v.),balance
équipage (n.m.),crew
équipe (n.f.),team
équipé,equipped
équipement (n.m.),equipment
équiper (v.),equip
équipier (n.m.),team member
équitable,fair-minded; just
équitation (n.f.),horse riding
équivalent,equivalent
équivaloir à (v.),be equivalent to
éreintant,exhausting
ergonomie (n.f.),ergonomics
éroder (v.),erode
érosion (n.f.),erosion
erreur (n.f.),mistake; error
erroné,wrong
éruption (n.f.),eruption
escabeau (n.m.),stepladder; stool
escalade (n.f.),climbing
escalader (v.),climb
escale (n.f.),port of call; call; stop; stopover
escalier (n.m.),staircase; stairs
escalier roulant (n.m.),escalator
escargot (n.m.),snail
escrime (n.f.),fencing
espace (n.m.),room; space
espacement (n.m.),spacing; spacing out
espacer (v.),space out; make less frequent
Espagne (n.pr.f.),Spain
Espagnol (n.m.),Spaniard; Spanish
espagnol,Spanish
espèce (n.f.),species; sort; kind
espèces (n.f.pl.),cash
espérer (v.),hope; expect
espiègle,mischievous; impish
espoir (n.m.),hope; expectation
esprit (n.m.),mind; spirit
Esquimau (n.m.),Eskimo
